Pelecanus erythrorhynchos: ('species', 'Animalia', 4334, 'Pelecanus', 'genus')
Helenium bigelovii: ('species', 'Plantae', 61807, 'Helenium', 'genus')
Ribes montigenum: ('species', 'Plantae', 78863, 'Ribes', 'genus')
Penstemon heterodoxus: ('species', 'Plantae', 62688, 'Penstemon', 'genus')
Gentianopsis holopetala: ('species', 'Plantae', 77246, 'Gentianopsis', 'genus')
Parnassia palustris: ('species', 'Plantae', 78352, 'Parnassia', 'genus')
Frangula rubra: ('species', 'Plantae', 77157, 'Frangula', 'genus')
Trichostema lanceolatum: ('species', 'Plantae', 54875, 'Trichostema', 'genus')
Heterotheca sessiliflora echioides: ('subspecies', 'Plantae', 58834, 'Heterotheca sessiliflora', 'species')
Hemizonia congesta: ('species', 'Plantae', 56960, 'Hemizonia', 'genus')
Anaphalis margaritacea: ('species', 'Plantae', 52833, 'Anaphalis', 'genus')
Incisitermes minor: ('species', 'Animalia', 296456, 'Incisitermes', 'genus')
Campanula prenanthoides: ('species', 'Plantae', 851072, 'Campanula', 'genus')
Epilobium: ('genus', 'Plantae', 52972, 'Onagraceae', 'family')
Fomitopsis mounceae: ('species', 'Fungi', 877361, 'Fomitopsis', 'genus')
Solanum americanum: ('species', 'Plantae', 59035, 'Solanum', 'genus')
Ribes menziesii: ('species', 'Plantae', 52687, 'Ribes', 'genus')
Aquila chrysaetos: ('species', 'Animalia', 5074, 'Aquila', 'genus')
Cortaderia selloana: ('species', 'Plantae', 64240, 'Cortaderia', 'genus')
Sus scrofa: ('species', 'Animalia', 42134, 'Sus', 'genus')
Schinus molle: ('species', 'Plantae', 57354, 'Schinus', 'genus')
Pelecanus occidentalis: ('species', 'Animalia', 4328, 'Pelecanus', 'genus')
Numenius americanus: ('species', 'Animalia', 3906, 'Numenius', 'genus')
Enhydra lutris nereis: ('subspecies', 'Animalia', 117520, 'Enhydra lutris', 'species')
Ericameria ericoides: ('species', 'Plantae', 60955, 'Ericameria', 'genus')
Symphyotrichum chilense: ('species', 'Plantae', 56861, 'Symphyotrichum', 'genus')
Grindelia stricta: ('species', 'Plantae', 61992, 'Grindelia', 'genus')
Carpobrotus chilensis: ('species', 'Plantae', 56026, 'Carpobrotus', 'genus')
Eriogonum fasciculatum: ('species', 'Plantae', 54999, 'Eriogonum', 'genus')
Frangula californica: ('species', 'Plantae', 53423, 'Frangula', 'genus')
Larus heermanni: ('species', 'Animalia', 4353, 'Larus', 'genus')
Larus occidentalis: ('species', 'Animalia', 4345, 'Larus', 'genus')
Phalacrocoracidae: ('family', 'Animalia', 4262, 'Suliformes', 'order')
Grindelia camporum: ('species', 'Plantae', 56953, 'Grindelia', 'genus')
Amaryllis belladonna: ('species', 'Plantae', 61827, 'Amaryllis', 'genus')
Quercus douglasii: ('species', 'Plantae', 49009, 'Quercus', 'genus')
Senna: ('genus', 'Plantae', 52348, 'Fabaceae', 'family')
Fungi: ('kingdom', 'Fungi', 47170, None, None)
Gasteracantha cancriformis: ('species', 'Animalia', 49540, 'Gasteracantha', 'genus')
Rattus rattus: ('species', 'Animalia', 44575, 'Rattus', 'genus')
Melastoma septemnervium: ('species', 'Plantae', 448560, 'Melastoma', 'genus')
Bubulcus ibis: ('species', 'Animalia', 5017, 'Bubulcus', 'genus')
Arundina graminifolia: ('species', 'Plantae', 117504, 'Arundina', 'genus')
Capra hircus: ('species', 'Animalia', 123070, 'Capra', 'genus')
Asio flammeus sandwichensis: ('subspecies', 'Animalia', 236946, 'Asio flammeus', 'species')
Tettigoniidae: ('family', 'Animalia', 48124, 'Orthoptera', 'order')
Ipomoea indica: ('species', 'Plantae', 77496, 'Ipomoea', 'genus')
Rhinella marina: ('species', 'Animalia', 553515, 'Rhinella', 'genus')
Brugmansia arborea: ('species', 'Plantae', 126914, 'Brugmansia', 'genus')
Heterocentron subtriplinervium: ('species', 'Plantae', 163712, 'Heterocentron', 'genus')
Pica nuttalli: ('species', 'Animalia', 8319, 'Pica', 'genus')
Himantopus mexicanus: ('species', 'Animalia', 4836, 'Himantopus', 'genus')
Eriophyllum staechadifolium: ('species', 'Plantae', 60963, 'Eriophyllum', 'genus')
Nereocystis luetkeana: ('species', 'Chromista', 120499, 'Nereocystis', 'genus')
Pandion haliaetus: ('species', 'Animalia', 116999, 'Pandion', 'genus')
Erigeron glaucus: ('species', 'Plantae', 50878, 'Erigeron', 'genus')
Urile penicillatus: ('species', 'Animalia', 1289607, 'Urile', 'genus')
Cupressus macrocarpa: ('species', 'Plantae', 322545, 'Cupressus', 'genus')
Castilleja latifolia: ('species', 'Plantae', 57267, 'Castilleja', 'genus')
Zalophus californianus: ('species', 'Animalia', 41740, 'Zalophus', 'genus')
Prionitis lanceolata: ('species', 'Plantae', 117820, 'Prionitis', 'genus')
Solanum nigrum: ('species', 'Plantae', 79141, 'Solanum', 'genus')
Madia elegans: ('species', 'Plantae', 56974, 'Madia', 'genus')
Symphoricarpos albus: ('species', 'Plantae', 48523, 'Symphoricarpos', 'genus')
Accipiter striatus: ('species', 'Animalia', 5097, 'Accipiter', 'genus')
Psidium guajava: ('species', 'Plantae', 62859, 'Psidium', 'genus')
Hedychium flavescens: ('species', 'Plantae', 77347, 'Hedychium', 'genus')
Gallinula galeata sandvicensis: ('subspecies', 'Animalia', 124491, 'Gallinula galeata', 'species')
Hibiscus tiliaceus: ('species', 'Plantae', 62868, 'Hibiscus', 'genus')
Selenicereus undatus: ('species', 'Plantae', 1038928, 'Selenicereus', 'genus')
Mimus polyglottos: ('species', 'Animalia', 14886, 'Mimus', 'genus')
Hedychium coronarium: ('species', 'Plantae', 143955, 'Hedychium', 'genus')
Glandirana rugosa: ('species', 'Animalia', 65524, 'Glandirana', 'genus')
Nycticorax nycticorax: ('species', 'Animalia', 4981, 'Nycticorax', 'genus')
Fabaceae: ('family', 'Plantae', 47122, 'Fabales', 'order')
Zingiber zerumbet: ('species', 'Plantae', 170436, 'Zingiber', 'genus')
Andropogon bicornis: ('species', 'Plantae', 287998, 'Andropogon', 'genus')
Melaleuca quinquenervia: ('species', 'Plantae', 120527, 'Melaleuca', 'genus')
Hibiscus clayi: ('species', 'Plantae', 163762, 'Hibiscus', 'genus')
Dubautia menziesii: ('species', 'Plantae', 70031, 'Dubautia', 'genus')
Alectoris chukar: ('species', 'Animalia', 846, 'Alectoris', 'genus')
Chaetogastra herbacea: ('species', 'Plantae', 1318532, 'Chaetogastra', 'genus')
Freycinetia arborea: ('species', 'Plantae', 122525, 'Freycinetia', 'genus')
Aloe vera: ('species', 'Plantae', 126882, 'Aloe', 'genus')
Centratherum punctatum: ('species', 'Plantae', 160297, 'Centratherum', 'genus')
Scotophaeus blackwalli: ('species', 'Animalia', 206295, 'Scotophaeus', 'genus')
Elgaria multicarinata multicarinata: ('subspecies', 'Animalia', 32059, 'Elgaria multicarinata', 'species')
Cortaderia jubata: ('species', 'Plantae', 52714, 'Cortaderia', 'genus')
Cotoneaster coriaceus: ('species', 'Plantae', 411074, 'Cotoneaster', 'genus')
Speyeria: ('genus', 'Animalia', 47981, 'Nymphalidae', 'family')
Symphyotrichum foliaceum: ('species', 'Plantae', 56113, 'Symphyotrichum', 'genus')
Paroaria coronata: ('species', 'Animalia', 10254, 'Paroaria', 'genus')
Cactaceae: ('family', 'Plantae', 47903, 'Caryophyllales', 'order')
Lobularia maritima: ('species', 'Plantae', 56992, 'Lobularia', 'genus')
Jasminum mesnyi: ('species', 'Plantae', 164229, 'Jasminum', 'genus')
Angelica hendersonii: ('species', 'Plantae', 64289, 'Angelica', 'genus')
Solanum nigrum: ('complex', 'Plantae', 1351686, 'Solanum', 'genus')
Castilleja subinclusa franciscana: ('variety', 'Plantae', 53916, 'Castilleja subinclusa', 'species')
Ammopelmatus: ('genus', 'Animalia', 86400, 'Stenopelmatidae', 'family')
Spergularia macrotheca: ('species', 'Plantae', 61472, 'Spergularia', 'genus')
Laetiporus conifericola: ('species', 'Fungi', 118057, 'Laetiporus', 'genus')
Pristoceuthophilus: ('genus', 'Animalia', 91306, 'Rhaphidophoridae', 'family')
Vespula alascensis: ('species', 'Animalia', 332394, 'Vespula', 'genus')
Castanea: ('genus', 'Plantae', 49187, 'Fagaceae', 'family')
Ctenolepisma lineata: ('species', 'Animalia', 296177, 'Ctenolepisma', 'genus')
Hylephila phyleus: ('species', 'Animalia', 50340, 'Hylephila', 'genus')
Reticulitermes hesperus: ('species', 'Animalia', 296465, 'Reticulitermes', 'genus')
Procyon lotor: ('species', 'Animalia', 41663, 'Procyon', 'genus')
Chrysolina bankii: ('species', 'Animalia', 318965, 'Chrysolina', 'genus')
Coprinellus: ('genus', 'Fungi', 56315, 'Psathyrellaceae', 'family')
Tremella mesenterica: ('species', 'Fungi', 48529, 'Tremella', 'genus')
Volvopluteus gloiocephalus: ('species', 'Fungi', 348720, 'Volvopluteus', 'genus')
Ribes malvaceum: ('species', 'Plantae', 54942, 'Ribes', 'genus')
Harmonia axyridis: ('species', 'Animalia', 48484, 'Harmonia', 'genus')
Turdus migratorius: ('species', 'Animalia', 12727, 'Turdus', 'genus')
Calliphora: ('genus', 'Animalia', 70152, 'Calliphoridae', 'family')
Passeriformes: ('order', 'Animalia', 7251, 'Aves', 'class')
Mycetozoa: ('phylum', 'Protozoa', 47685, 'Protozoa', 'kingdom')
Hygrocybe: ('genus', 'Fungi', 51871, 'Hygrophoraceae', 'family')
Basidiomycota: ('phylum', 'Fungi', 47169, 'Fungi', 'kingdom')
Clavulina: ('genus', 'Fungi', 63266, 'Hydnaceae', 'family')
Urtica dioica: ('species', 'Plantae', 51884, 'Urtica', 'genus')
Polypodiopsida: ('class', 'Plantae', 121943, 'Tracheophyta', 'phylum')
Medicago arabica: ('species', 'Plantae', 61012, 'Medicago', 'genus')
Lomatium macrocarpum: ('species', 'Plantae', 56826, 'Lomatium', 'genus')
Rhopalomyia floccosa: ('species', 'Animalia', 317543, 'Rhopalomyia', 'genus')
Fritillaria liliacea: ('species', 'Plantae', 53054, 'Fritillaria', 'genus')
Cardamine hirsuta: ('species', 'Plantae', 55829, 'Cardamine', 'genus')
Angiospermae: ('subphylum', 'Plantae', 47125, 'Tracheophyta', 'phylum')
Setophaga coronata: ('species', 'Animalia', 145245, 'Setophaga', 'genus')
Proserpinus clarkiae: ('species', 'Animalia', 127171, 'Proserpinus', 'genus')
Ixodes pacificus: ('species', 'Animalia', 60599, 'Ixodes', 'genus')
Sidalcea diploscypha: ('species', 'Plantae', 57139, 'Sidalcea', 'genus')
Triphysaria eriantha: ('species', 'Plantae', 50792, 'Triphysaria', 'genus')
Trifolium: ('genus', 'Plantae', 51876, 'Fabaceae', 'family')
Trifolium depauperatum: ('species', 'Plantae', 58164, 'Trifolium', 'genus')
Thomomys bottae: ('species', 'Animalia', 44062, 'Thomomys', 'genus')
Leptosiphon bicolor: ('species', 'Plantae', 64245, 'Leptosiphon', 'genus')
Phacelia distans: ('species', 'Plantae', 56631, 'Phacelia', 'genus')
Lepidium: ('genus', 'Plantae', 47203, 'Brassicaceae', 'family')
Microseris douglasii: ('species', 'Plantae', 56976, 'Microseris', 'genus')
Layia gaillardioides: ('species', 'Plantae', 64246, 'Layia', 'genus')
Noctuidae: ('family', 'Animalia', 48670, 'Lepidoptera', 'order')
Dudleya abramsii setchellii: ('subspecies', 'Plantae', 79807, 'Dudleya abramsii', 'species')
Castilleja densiflora densiflora: ('variety', 'Plantae', 61233, 'Castilleja densiflora', 'species')
Phacelia imbricata: ('species', 'Plantae', 53171, 'Phacelia', 'genus')
Gilia: ('genus', 'Plantae', 50837, 'Polemoniaceae', 'family')
Spergularia macrotheca macrotheca: ('variety', 'Plantae', 61474, 'Spergularia macrotheca', 'species')
Erysimum franciscanum: ('species', 'Plantae', 57402, 'Erysimum', 'genus')
Lotus: ('genus', 'Plantae', 47436, 'Fabaceae', 'family')
Astragalus gambelianus: ('species', 'Plantae', 57042, 'Astragalus', 'genus')
Leptosiphon ambiguus: ('species', 'Plantae', 58970, 'Leptosiphon', 'genus')
Nassella pulchra: ('species', 'Plantae', 165659, 'Nassella', 'genus')
Cirsium fontinale campylon: ('variety', 'Plantae', 59750, 'Cirsium fontinale', 'species')
Polypogon monspeliensis: ('species', 'Plantae', 57197, 'Polypogon', 'genus')
Anura: ('order', 'Animalia', 20979, 'Amphibia', 'class')
Rumex crispus: ('species', 'Plantae', 53197, 'Rumex', 'genus')
Pterygota: ('subclass', 'Animalia', 184884, 'Insecta', 'class')
Melyridae: ('family', 'Animalia', 82067, 'Coleoptera', 'order')
Limnanthes douglasii: ('species', 'Plantae', 51336, 'Limnanthes', 'genus')
Spergularia: ('genus', 'Plantae', 55731, 'Caryophyllaceae', 'family')
Tachycineta thalassina: ('species', 'Animalia', 11931, 'Tachycineta', 'genus')
Vicia: ('genus', 'Plantae', 52472, 'Fabaceae', 'family')
Scapanus latimanus: ('species', 'Animalia', 46994, 'Scapanus', 'genus')
Phidippus johnsoni: ('species', 'Animalia', 58421, 'Phidippus', 'genus')
Gymnoconia peckiana: ('species', 'Fungi', 702749, 'Gymnoconia', 'genus')
Tenebrionidae: ('family', 'Animalia', 53816, 'Coleoptera', 'order')
Wyethia: ('genus', 'Plantae', 48243, 'Asteraceae', 'family')
Orobanchaceae: ('family', 'Plantae', 47322, 'Lamiales', 'order')
Enallagma: ('genus', 'Animalia', 50175, 'Coenagrionidae', 'family')
Argia vivida: ('species', 'Animalia', 56240, 'Argia', 'genus')
Trillium ovatum ovatum: ('variety', 'Plantae', 63972, 'Trillium ovatum', 'species')
Maianthemum stellatum: ('species', 'Plantae', 53268, 'Maianthemum', 'genus')
Prosartes hookeri: ('species', 'Plantae', 51071, 'Prosartes', 'genus')
Corallorhiza striata: ('species', 'Plantae', 50708, 'Corallorhiza', 'genus')
Coenonympha california: ('species', 'Animalia', 69145, 'Coenonympha', 'genus')
Quercus berberidifolia: ('species', 'Plantae', 57082, 'Quercus', 'genus')
Elgaria: ('genus', 'Animalia', 32049, 'Anguidae', 'family')
Romulea rosea: ('species', 'Plantae', 68896, 'Romulea', 'genus')
Heteroptera: ('suborder', 'Animalia', 61267, 'Hemiptera', 'order')
Marah oregana: ('species', 'Plantae', 77960, 'Marah', 'genus')
Castilleja: ('genus', 'Plantae', 49340, 'Orobanchaceae', 'family')
Trifolium incarnatum: ('species', 'Plantae', 64268, 'Trifolium', 'genus')
Orgyia: ('genus', 'Animalia', 49031, 'Erebidae', 'family')
Microseris acuminata: ('species', 'Plantae', 60142, 'Microseris', 'genus')
Geranium purpureum: ('species', 'Plantae', 57643, 'Geranium', 'genus')
Eulonchus: ('genus', 'Animalia', 176382, 'Acroceridae', 'family')
Opuntia ficus-indica: ('species', 'Plantae', 64119, 'Opuntia', 'genus')
Tanaemyrmex: ('subgenus', 'Animalia', 519193, 'Formicidae', 'family')
Pagaronia triunata: ('species', 'Animalia', 82188, 'Pagaronia', 'genus')
Delphinium californicum: ('species', 'Plantae', 51858, 'Delphinium', 'genus')
Bombus melanopygus: ('species', 'Animalia', 130222, 'Bombus', 'genus')
Chlosyne palla: ('species', 'Animalia', 53893, 'Chlosyne', 'genus')
Rumex conglomeratus: ('species', 'Plantae', 57215, 'Rumex', 'genus')
Elymus: ('genus', 'Plantae', 52792, 'Poaceae', 'family')
Asclepias californica: ('species', 'Plantae', 51272, 'Asclepias', 'genus')
Dialysis: ('genus', 'Animalia', 415440, 'Xylophagidae', 'family')
Gammarotettix: ('genus', 'Animalia', 155269, 'Rhaphidophoridae', 'family')
Calvatia: ('genus', 'Fungi', 57693, 'Lycoperdaceae', 'family')
Agelenopsis: ('genus', 'Animalia', 82116, 'Agelenidae', 'family')
Argentina anserina: ('species', 'Plantae', 158615, 'Argentina', 'genus')
Oenanthe sarmentosa: ('species', 'Plantae', 60127, 'Oenanthe', 'genus')
Cicadomorpha: ('infraorder', 'Animalia', 372849, 'Hemiptera', 'order')
Passiflora: ('genus', 'Plantae', 51452, 'Passifloraceae', 'family')
Rumex pulcher: ('species', 'Plantae', 60232, 'Rumex', 'genus')
Vicia benghalensis: ('species', 'Plantae', 53333, 'Vicia', 'genus')
Lupinus nanus: ('species', 'Plantae', 50612, 'Lupinus', 'genus')
Triteleia hyacinthina: ('species', 'Plantae', 57132, 'Triteleia', 'genus')
Carpobrotus edulis: ('species', 'Plantae', 49322, 'Carpobrotus', 'genus')
Rumex: ('genus', 'Plantae', 53196, 'Polygonaceae', 'family')
Petrochelidon pyrrhonota: ('species', 'Animalia', 11858, 'Petrochelidon', 'genus')
Digitalis purpurea: ('species', 'Plantae', 53983, 'Digitalis', 'genus')
Sixalix atropurpurea: ('species', 'Plantae', 372376, 'Sixalix', 'genus')
Leiothlypis celata: ('species', 'Animalia', 979757, 'Leiothlypis', 'genus')
Rosa spithamea: ('species', 'Plantae', 53442, 'Rosa', 'genus')
Papilio eurymedon: ('species', 'Animalia', 55521, 'Papilio', 'genus')
Lupinus hirsutissimus: ('species', 'Plantae', 58902, 'Lupinus', 'genus')
Lupinus arboreus: ('species', 'Plantae', 61010, 'Lupinus', 'genus')
Heuchera micrantha: ('species', 'Plantae', 51274, 'Heuchera', 'genus')
Nomada: ('genus', 'Animalia', 53648, 'Apidae', 'family')
Scudderia: ('genus', 'Animalia', 55958, 'Tettigoniidae', 'family')
Tragopogon dubius: ('species', 'Plantae', 54143, 'Tragopogon', 'genus')
Gambusia affinis: ('species', 'Animalia', 59115, 'Gambusia', 'genus')
Avena fatua: ('species', 'Plantae', 52698, 'Avena', 'genus')
Elymus multisetus: ('species', 'Plantae', 57167, 'Elymus', 'genus')
Thermopsis californica: ('species', 'Plantae', 61181, 'Thermopsis', 'genus')
Nymphalis californica: ('species', 'Animalia', 49920, 'Nymphalis', 'genus')
Asclepias fascicularis: ('species', 'Plantae', 56851, 'Asclepias', 'genus')
Celastrina echo: ('species', 'Animalia', 52484, 'Celastrina', 'genus')
Sayornis nigricans: ('species', 'Animalia', 17013, 'Sayornis', 'genus')
Strophiona tigrina: ('species', 'Animalia', 306269, 'Strophiona', 'genus')
Collinsia: ('genus', 'Plantae', 47324, 'Plantaginaceae', 'family')
Geometridae: ('family', 'Animalia', 49530, 'Lepidoptera', 'order')
Trifolium repens: ('species', 'Plantae', 55745, 'Trifolium', 'genus')
Boykinia occidentalis: ('species', 'Plantae', 68213, 'Boykinia', 'genus')
Pyrola aphylla: ('species', 'Plantae', 630966, 'Pyrola', 'genus')
Zeltnera: ('genus', 'Plantae', 72433, 'Gentianaceae', 'family')
Phacelia: ('genus', 'Plantae', 49347, 'Boraginaceae', 'family')
Dolichovespula arenaria: ('species', 'Animalia', 118913, 'Dolichovespula', 'genus')
Lactuca virosa: ('species', 'Plantae', 53108, 'Lactuca', 'genus')
Eriogonum nudum: ('species', 'Plantae', 53046, 'Eriogonum', 'genus')
Geranium core-core: ('species', 'Plantae', 77254, 'Geranium', 'genus')
Epilobium ciliatum: ('species', 'Plantae', 53050, 'Epilobium', 'genus')
Corylus cornuta californica: ('subspecies', 'Plantae', 53368, 'Corylus cornuta', 'species')
Chrysolepis chrysophylla chrysophylla: ('variety', 'Plantae', 80579, 'Chrysolepis chrysophylla', 'species')
Sonchus oleraceus: ('species', 'Plantae', 53294, 'Sonchus', 'genus')
Eriophyllum lanatum: ('species', 'Plantae', 77049, 'Eriophyllum', 'genus')
Castilleja wightii: ('species', 'Plantae', 67809, 'Castilleja', 'genus')
Helenium puberulum: ('species', 'Plantae', 53092, 'Helenium', 'genus')
Sambucus racemosa racemosa: ('subspecies', 'Plantae', 57826, 'Sambucus racemosa', 'species')
Bellardia viscosa: ('species', 'Plantae', 537967, 'Bellardia', 'genus')
Vicia tetrasperma: ('species', 'Plantae', 57310, 'Vicia', 'genus')
Chironomidae: ('family', 'Animalia', 53275, 'Diptera', 'order')
Spinus psaltria: ('species', 'Animalia', 145308, 'Spinus', 'genus')
Phyla nodiflora: ('species', 'Plantae', 59040, 'Phyla', 'genus')
Xanthochilus saturnius: ('species', 'Animalia', 325933, 'Xanthochilus', 'genus')
Anatidae: ('family', 'Animalia', 6912, 'Anseriformes', 'order')
Typha: ('genus', 'Plantae', 48686, 'Typhaceae', 'family')
Cuscuta pacifica: ('species', 'Plantae', 76553, 'Cuscuta', 'genus')
Eriogonum: ('genus', 'Plantae', 48939, 'Polygonaceae', 'family')
Lythrum junceum: ('species', 'Plantae', 82891, 'Lythrum', 'genus')
Acronicta: ('genus', 'Animalia', 55624, 'Noctuidae', 'family')
Lonicera involucrata: ('species', 'Plantae', 60881, 'Lonicera', 'genus')
Notholithocarpus densiflorus: ('species', 'Plantae', 69823, 'Notholithocarpus', 'genus')
Sequoia sempervirens: ('species', 'Plantae', 47372, 'Sequoia', 'genus')
Pteridium aquilinum pubescens: ('variety', 'Plantae', 52684, 'Pteridium aquilinum', 'species')
Senecio minimus: ('species', 'Plantae', 60980, 'Senecio', 'genus')
Adiantum aleuticum: ('species', 'Plantae', 52667, 'Adiantum', 'genus')
Stegobium paniceum: ('species', 'Animalia', 231494, 'Stegobium', 'genus')
Hypericum calycinum: ('species', 'Plantae', 77481, 'Hypericum', 'genus')
Lupinus formosus formosus: ('variety', 'Plantae', 61822, 'Lupinus formosus', 'species')
Eriogonum latifolium: ('species', 'Plantae', 57211, 'Eriogonum', 'genus')
Pinus radiata: ('species', 'Plantae', 53421, 'Pinus', 'genus')
Tremellales: ('order', 'Fungi', 48530, 'Tremellomycetes', 'class')
Geranium: ('genus', 'Plantae', 47701, 'Geraniaceae', 'family')
Platanthera elegans elegans: ('subspecies', 'Plantae', 840643, 'Platanthera elegans', 'species')
Chrysolepis chrysophylla minor: ('variety', 'Plantae', 53365, 'Chrysolepis chrysophylla', 'species')
Dryocosmus castanopsidis: ('species', 'Animalia', 85432, 'Dryocosmus', 'genus')
Araneus diadematus: ('species', 'Animalia', 52628, 'Araneus', 'genus')
Corylus cornuta: ('species', 'Plantae', 53374, 'Corylus', 'genus')
Pistacia chinensis: ('species', 'Plantae', 143792, 'Pistacia', 'genus')
Largus californicus: ('species', 'Animalia', 52986, 'Largus', 'genus')
Lessingia leptoclada: ('species', 'Plantae', 63001, 'Lessingia', 'genus')
Ursus americanus: ('species', 'Animalia', 41638, 'Ursus', 'genus')
Dudleya cymosa: ('species', 'Plantae', 58136, 'Dudleya', 'genus')
Oreortyx pictus: ('species', 'Animalia', 1399, 'Oreortyx', 'genus')
Quercus chrysolepis: ('species', 'Plantae', 51092, 'Quercus', 'genus')
Stephanomeria exigua: ('species', 'Plantae', 58039, 'Stephanomeria', 'genus')
Ganoderma applanatum: ('species', 'Fungi', 48473, 'Ganoderma', 'genus')
Maianthemum racemosum amplexicaule: ('subspecies', 'Plantae', 53012, 'Maianthemum racemosum', 'species')
Cotoneaster pannosus: ('species', 'Plantae', 53375, 'Cotoneaster', 'genus')
Coprinellus disseminatus: ('species', 'Fungi', 56314, 'Coprinellus', 'genus')
Aseroe rubra: ('species', 'Fungi', 381310, 'Aseroe', 'genus')
Oxyopidae: ('family', 'Animalia', 83843, 'Araneae', 'order')
Rubiaceae: ('family', 'Plantae', 47693, 'Gentianales', 'order')
Carabidae: ('family', 'Animalia', 49567, 'Coleoptera', 'order')
Cyanthillium cinereum: ('species', 'Plantae', 130374, 'Cyanthillium', 'genus')
Spathodea campanulata: ('species', 'Plantae', 126566, 'Spathodea', 'genus')
Odontonema cuspidatum: ('species', 'Plantae', 165773, 'Odontonema', 'genus')
Thunbergia fragrans: ('species', 'Plantae', 169742, 'Thunbergia', 'genus')
Phimenes curvatus: ('species', 'Animalia', 568268, 'Phimenes', 'genus')
Earliella scabrosa: ('species', 'Fungi', 179185, 'Earliella', 'genus')
Favolaschia calocera: ('complex', 'Fungi', 1367787, 'Favolaschia', 'genus')
Cibotium: ('genus', 'Plantae', 84360, 'Cibotiaceae', 'family')
Pleurotaceae: ('family', 'Fungi', 48495, 'Agaricales', 'order')
Philadelphus karwinskyanus: ('species', 'Plantae', 277881, 'Philadelphus', 'genus')
Pieris rapae: ('species', 'Animalia', 55626, 'Pieris', 'genus')
Galinsoga: ('genus', 'Plantae', 48177, 'Asteraceae', 'family')
Leucocoprinus: ('genus', 'Fungi', 85399, 'Agaricaceae', 'family')
Chasiempis sclateri: ('species', 'Animalia', 72657, 'Chasiempis', 'genus')
Phytolacca sandwicensis: ('species', 'Plantae', 166863, 'Phytolacca', 'genus')
Coprosma kauensis: ('species', 'Plantae', 160852, 'Coprosma', 'genus')
Odontosoria chinensis: ('species', 'Plantae', 132700, 'Odontosoria', 'genus')
Asystasia gangetica: ('species', 'Plantae', 159049, 'Asystasia', 'genus')
Sida fallax: ('species', 'Plantae', 54995, 'Sida', 'genus')
Stephanomeria: ('genus', 'Plantae', 56986, 'Asteraceae', 'family')
Solanum furcatum: ('species', 'Plantae', 79138, 'Solanum', 'genus')
Plantae: ('kingdom', 'Plantae', 47126, None, None)
Esula: ('subgenus', 'Plantae', 785083, 'Euphorbiaceae', 'family')
Cinnamomum camphora: ('species', 'Plantae', 76341, 'Cinnamomum', 'genus')
Callirhytis quercusagrifoliae: ('species', 'Animalia', 473375, 'Callirhytis', 'genus')
Kalmia latifolia: ('species', 'Plantae', 49397, 'Kalmia', 'genus')
Vespinae: ('subfamily', 'Animalia', 84738, 'Vespidae', 'family')
Rhododendron maximum: ('species', 'Plantae', 83059, 'Rhododendron', 'genus')
Dryopteris marginalis: ('species', 'Plantae', 54410, 'Dryopteris', 'genus')
Taricha: ('genus', 'Animalia', 27816, 'Salamandridae', 'family')
Evernia prunastri: ('species', 'Fungi', 123175, 'Evernia', 'genus')
Gymnopilus ventricosus: ('species', 'Fungi', 348809, 'Gymnopilus', 'genus')
Polypodium californicum: ('species', 'Plantae', 57216, 'Polypodium', 'genus')
Trombidiformes: ('order', 'Animalia', 83740, 'Arachnida', 'class')
Phyllotopsis nidulans: ('species', 'Fungi', 52529, 'Phyllotopsis', 'genus')
Crucibulum laeve: ('species', 'Fungi', 120030, 'Crucibulum', 'genus')
Naematelia aurantia: ('species', 'Fungi', 1109245, 'Naematelia', 'genus')
Pleurotus: ('genus', 'Fungi', 48496, 'Pleurotaceae', 'family')
Ramaria: ('genus', 'Fungi', 48707, 'Gomphaceae', 'family')
Mycena leptocephala: ('species', 'Fungi', 63470, 'Mycena', 'genus')
Pezizales: ('order', 'Fungi', 48717, 'Pezizomycetes', 'class')
Agaricus: ('genus', 'Fungi', 49548, 'Agaricaceae', 'family')
Trametes betulina: ('species', 'Fungi', 786918, 'Trametes', 'genus')
Phycomyces: ('genus', 'Fungi', 319606, 'Phycomycetaceae', 'family')
Ribes californicum: ('species', 'Plantae', 47129, 'Ribes', 'genus')
Sternorrhyncha: ('suborder', 'Animalia', 334037, 'Hemiptera', 'order')
Sciurus carolinensis: ('species', 'Animalia', 46017, 'Sciurus', 'genus')
Bucephala clangula: ('species', 'Animalia', 6990, 'Bucephala', 'genus')
Salvia rosmarinus: ('species', 'Plantae', 636795, 'Salvia', 'genus')
Oemleria cerasiformis: ('species', 'Plantae', 53419, 'Oemleria', 'genus')
Salix: ('genus', 'Plantae', 53453, 'Salicaceae', 'family')
Arctostaphylos crustacea crustacea: ('subspecies', 'Plantae', 79587, 'Arctostaphylos crustacea', 'species')
Arctostaphylos montaraensis: ('species', 'Plantae', 75523, 'Arctostaphylos', 'genus')
Erigeron canadensis: ('species', 'Plantae', 76907, 'Erigeron', 'genus')
Scoliopus bigelovii: ('species', 'Plantae', 48990, 'Scoliopus', 'genus')
Rhopalomyia californica: ('species', 'Animalia', 55698, 'Rhopalomyia', 'genus')
Ribes sanguineum: ('species', 'Plantae', 53435, 'Ribes', 'genus')
Lycoperdon: ('genus', 'Fungi', 48444, 'Lycoperdaceae', 'family')
